"","FoxB_C3-1-77","FoxB_C2-FOF","FoxB_C3-3-33","FoxB_C3-4-25","FoxB_C2-6-9","FoxB_C2-21-1","FoxB_C3-14-2","FoxB_C3-ot1","FoxB_C3-ot2","FoxB_C3-ot3","FoxB_C3-ot4","FoxB_C2-ot5","FoxB_C3-ot6","FoxB_C2-ot7","FoxB_C2-ot8","FoxB_C3-ot9","FoxB_C3-ot10","FoxB_C2-ot11","Fsol3_2-40","Fsol3_5-17","Fsol3_10-2","Fsol3_9-2","Fsol3_ot1","Fsol3_8-3","Fsol3_ot2","Fsol3_ot3","Fsol3_18-1","Finc_12-2","Finc_13-2","Finc_22-1","Finc_ot1","FfujAs_","FsamD_","Ftri_"
"brsw1BR1_ef",1928,0,740,326,78,17,139,9,9,16,11,0,0,0,0,3,9,0,2079,3374,155,14,155,72,70,72,12,207,252,91,0,0,0,0
"brsw1BR2_ef",4099,8,1472,760,287,41,152,22,41,40,25,6,8,0,0,8,16,10,1283,1942,61,10,80,35,25,27,4,325,269,191,34,0,0,0
"brsw1BR3_ef",1866,0,524,489,57,44,21,9,14,14,12,2,5,0,0,5,2,2,1721,738,155,14,35,10,16,12,12,359,62,25,0,0,0,0
"brsw1BR4_ef",2463,0,839,761,46,19,40,14,27,17,17,2,3,0,0,6,2,2,2310,1087,134,0,81,26,40,24,9,83,76,73,8,0,0,0
"brsw1BR5_ef",483,0,183,74,125,23,71,5,2,5,3,0,2,0,0,0,0,0,1296,1626,100,0,83,56,37,31,0,31,37,0,0,0,0,0
"brsw1BR6_ef",3580,20,651,337,235,60,71,20,19,17,20,8,6,0,0,8,16,6,925,1332,21,0,49,49,20,23,6,276,101,139,37,0,0,0
"brsw1SW1_ef",45,220,27,42,0,0,6,0,0,0,0,0,0,0,0,0,0,0,49,15,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"brsw1SW2_ef",50,48,30,59,8,0,0,0,0,0,5,0,0,0,0,0,0,0,19,12,0,0,0,0,0,0,6,0,8,0,0,0,0,0
"brsw1SW3_ef",35,400,87,173,49,0,30,0,0,0,0,0,0,3,0,0,0,0,29,38,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"brsw1SW4_ef",313,133,33,145,33,16,0,2,2,2,0,2,2,0,0,0,3,0,226,102,23,0,2,0,0,0,4,1,11,0,14,0,0,0
"brsw1SW5_ef",198,41,106,58,44,27,0,6,0,0,0,0,2,2,0,0,0,0,135,121,7,0,2,5,0,0,0,11,69,0,0,0,0,0
"brsw1SW6_ef",0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,0,0,0,0,0
"brsw2BR1_ef",490,0,214,412,41,3,0,2,5,2,3,0,0,0,0,2,2,0,582,782,153,25,19,17,8,2,2,5,57,18,0,0,0,0
"brsw2BR2_ef",785,0,413,638,212,20,0,8,3,7,5,2,0,0,0,5,3,0,618,1279,78,0,37,52,26,13,2,0,0,0,0,0,0,0
"brsw2BR3_ef",500,0,526,182,74,23,33,3,2,3,8,0,2,0,0,2,0,0,493,283,65,0,7,0,4,2,9,64,0,0,0,0,0,0
"brsw2BR4_ef",4708,78,1051,1527,1594,0,35,35,54,37,29,43,21,2,5,46,8,49,1997,2081,81,167,111,77,60,41,0,247,689,497,134,0,0,7
"brsw2BR5_ef",4075,19,1145,987,227,0,142,50,44,32,16,11,3,0,18,8,10,6,2243,4722,192,19,209,167,107,75,6,383,993,265,0,0,0,0
"brsw2BR6_ef",26,188,0,24,43,0,0,0,0,0,3,0,0,2,19,0,0,0,129,75,9,0,0,0,0,0,9,0,0,0,0,0,0,0
"brsw2SW1_ef",158,330,64,118,37,0,0,0,0,0,0,0,0,6,0,0,2,0,112,110,30,0,0,0,0,0,0,44,0,0,0,9,14,0
"brsw2SW2_ef",805,984,135,272,140,29,0,21,0,14,7,2,5,15,17,2,3,0,503,148,133,20,0,0,0,0,0,120,0,0,0,96,0,0
"brsw2SW3_ef",230,0,126,114,60,0,33,3,0,2,2,0,0,0,0,2,2,0,62,56,10,12,0,0,0,0,0,31,0,0,0,521,0,0
"brsw2SW4_ef",7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
"brsw2SW5_ef",36,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"brsw2SW6_ef",402,280,142,117,0,40,0,3,2,3,3,0,2,3,0,0,2,0,735,321,17,15,11,0,0,4,66,0,0,0,0,0,0,0
"brsw3BR1_ef",1340,0,453,826,182,0,1218,8,5,8,13,0,2,0,0,0,7,2,1202,652,176,40,15,50,15,13,0,116,72,79,53,0,0,0
"brsw3BR2_ef",3014,0,1386,583,455,41,85,16,20,21,8,11,10,0,0,7,5,15,2199,1851,237,30,155,84,58,62,49,402,308,202,43,0,0,0
"brsw3BR3_ef",2999,16,1295,1060,225,95,119,23,25,17,17,9,8,0,0,11,5,11,2590,2651,255,65,185,36,93,74,23,177,125,356,55,0,0,0
"brsw3BR4_ef",2169,6,498,1089,388,21,43,6,27,16,17,5,5,0,0,19,10,14,864,2415,133,6,101,44,22,28,18,70,66,0,41,0,0,0
"brsw3BR5_ef",6150,0,2277,1053,948,67,71,54,55,65,21,35,33,0,0,59,13,40,2318,4530,329,0,198,87,95,85,40,1801,1449,525,148,0,21,0
"brsw3BR6_ef",3689,111,1159,2011,333,138,182,21,53,21,18,11,8,2,0,20,5,17,1937,2594,269,26,161,96,74,68,6,1305,630,212,139,0,37,0
"brsw3SW1_ef",334,45,89,138,16,10,45,5,3,2,3,2,3,0,3,0,2,0,301,143,45,0,12,2,2,4,2,20,17,7,0,0,9,16
"brsw3SW2_ef",415,199,74,181,27,16,6,0,5,2,0,5,3,2,2,0,3,0,197,109,11,20,0,9,2,2,0,19,0,7,0,0,0,20
"brsw3SW3_ef",626,217,142,40,84,0,0,8,0,11,5,3,0,0,0,2,0,0,284,182,0,0,2,0,2,0,17,0,0,0,0,0,0,0
"brsw3SW4_ef",54,185,29,0,0,0,63,0,0,0,0,0,0,2,2,0,0,0,28,58,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"brsw3SW5_ef",357,1255,72,273,122,8,6,3,0,3,0,6,3,8,14,2,0,2,530,303,88,35,14,19,7,0,9,0,0,6,0,55,0,7
"brsw3SW6_ef",199,342,87,30,0,14,121,0,0,0,0,0,14,3,3,0,2,0,148,94,22,0,0,0,0,2,0,0,0,0,0,0,0,0
"plnt1BB1_ef",58,239,46,22,27,0,0,0,0,0,0,0,0,3,0,2,0,0,40,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"plnt1BB2_ef",81,87,40,40,20,35,0,0,0,2,2,0,0,0,0,0,0,0,127,36,18,0,0,0,0,0,0,24,16,3,0,0,0,0
"plnt1BB3_ef",340,22,162,54,45,0,0,3,0,3,2,0,0,0,0,0,2,0,43,29,0,0,0,0,0,0,0,72,32,31,0,0,0,15
"plnt1BB4_ef",352,11,64,27,30,0,11,0,0,0,0,0,0,0,0,0,2,0,60,34,9,0,0,2,2,0,0,37,30,0,0,0,0,0
"plnt1BB5_ef",291,113,47,55,0,13,0,2,0,0,2,0,0,0,0,0,0,0,54,10,10,0,0,0,0,0,0,52,0,25,0,0,0,0
"plnt1BB6_ef",474,69,209,101,63,3,11,5,0,3,2,0,2,0,0,0,0,0,186,76,23,5,0,0,0,0,0,58,24,17,0,14,0,0
"plnt1BR1_ef",2069,385,1252,937,66,20,226,22,20,7,3,5,0,2,5,3,7,0,164,58,13,0,0,0,0,0,0,108,194,34,15,0,200,0
"plnt1BR2_ef",2560,180,398,315,170,0,275,15,11,8,16,0,5,0,2,0,10,0,47,16,0,0,0,0,0,0,0,101,428,357,0,0,0,0
"plnt1BR3_ef",2318,299,671,364,520,52,0,13,11,24,2,2,0,2,6,6,3,2,216,74,7,0,0,0,0,0,2,405,123,44,41,0,0,0
"plnt1BR4_ef",2759,118,583,286,29,0,33,16,14,9,16,0,0,0,2,0,3,0,72,12,6,0,0,0,0,0,0,101,169,191,0,0,0,0
"plnt1BR5_ef",153,40,6,0,0,28,27,3,2,0,3,0,0,0,0,0,2,0,26,31,0,0,0,0,0,0,0,24,1,0,0,0,0,0
"plnt1BR6_ef",10068,1936,2586,2439,518,52,132,68,85,62,35,87,67,13,73,17,37,25,177,99,17,19,0,0,0,0,0,477,394,255,108,0,85,0
"plnt1LE1_ef",266,29,150,63,0,82,35,0,2,2,0,0,0,0,0,0,0,0,111,22,31,31,0,0,0,0,0,41,64,96,0,0,0,0
"plnt1LE2_ef",98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,29,0,0,0,0,0,0,0,5,35,0,0,0,0,0
"plnt1LE31_ef",35,0,80,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
