"","brsw1BR1_its","brsw1BR2_its","brsw1BR3_its","brsw1BR4_its","brsw1BR5_its","brsw1BR6_its","brsw1SW1_its","brsw1SW2_its","brsw1SW3_its","brsw1SW4_its","brsw1SW5_its","brsw1SW6_its","brsw2BR1_its","brsw2BR2_its","brsw2BR3_its","brsw2BR4_its","brsw2BR5_its","brsw2BR6_its","brsw2SW1_its","brsw2SW2_its","brsw2SW3_its","brsw2SW4_its","brsw2SW5_its","brsw2SW6_its","brsw3BR1_its","brsw3BR2_its","brsw3BR3_its","brsw3BR4_its","brsw3BR5_its","brsw3BR6_its","brsw3SW1_its","brsw3SW2_its","brsw3SW3_its","brsw3SW4_its","brsw3SW5_its","brsw3SW6_its","brswh2o_its","plnt1BB1_its","plnt1BB2_its","plnt1BB3_its","plnt1BB4_its","plnt1BB5_its","plnt1BB6_its","plnt1BR1_its","plnt1BR2_its","plnt1BR3_its","plnt1BR4_its","plnt1BR5_its","plnt1BR6_its","plnt1LE1_its","plnt1LE2_its","plnt1LE31_its","plnt1LE4_its","plnt1LE5_its","plnt1LE6_its","plnt1RB1_its","plnt1RB2_its","plnt1RB3_its","plnt1RB4_its","plnt1RB5_its","plnt1RB6_its","plnt1SW1_its","plnt1SW2_its","plnt1SW3_its","plnt1SW4_its","plnt1SW5_its","plnt1SW6_its","plnt1VT1_its","plnt1VT2_its","plnt1VT3_its","plnt1VT4_its","plnt1VT5_its","plnt1VT6_its","plnt2BB1_its","plnt2BB2_its","plnt2BB3_its","plnt2BB4_its","plnt2BB5_its","plnt2BB6_its","plnt2BR1_its","plnt2BR2_its","plnt2BR3_its","plnt2BR4_its","plnt2BR5_its","plnt2BR6_its","plnt2LE1_its","plnt2LE2_its","plnt2LE3_its","plnt2LE4_its","plnt2LE5_its","plnt2LE6_its","plnt2RB1_its","plnt2RB2_its","plnt2RB3_its","plnt2RB4_its","plnt2RB5_its","plnt2RB6_its","plnt2SW1_its","plnt2SW2_its","plnt2SW3_its","plnt2SW4_its","plnt2SW5_its","plnt2SW6_its","plnt2VT2_its","plnt2VT3_its","plnt2VT4_its","plnt2VT5_its","plnt2VT6_its","plnt3BB1_its","plnt3BB2_its","plnt3BB3_its","plnt3BB4_its","plnt3BB5_its","plnt3BB6_its","plnt3BR1_its","plnt3BR2_its","plnt3BR3_its","plnt3BR4_its","plnt3BR5_its","plnt3BR6_its","plnt3LE1_its","plnt3LE2_its","plnt3LE4_its","plnt3LE6_its","plnt3RB1_its","plnt3RB2_its","plnt3RB3_its","plnt3RB4_its","plnt3RB6_its","plnt3SW1_its","plnt3SW2_its","plnt3SW3_its","plnt3SW4_its","plnt3SW5_its","plnt3SW6_its","plnt3VT1_its","plnt3VT2_its","plnt3VT3_its","plnt3VT4_its","plnt3VT5_its","plnt3VT6_its","soil1BB1_its","soil1BB2_its","soil1BB3_its","soil1BB4_its","soil1BB5_its","soil1BB6_its","soil1BR1_its","soil1BR2_its","soil1BR3_its","soil1BR4_its","soil1BR5_its","soil1BR6_its","soil1FW1_its","soil1FW2_its","soil1FW3_its","soil1FW4_its","soil1FW5_its","soil1FW6_its","soil1h2o_its","soil1LE1_its","soil1LE2_its","soil1LE3_its","soil1LE4_its","soil1LE5_its","soil1LE6_its","soil1RB1_its","soil1RB2_its","soil1RB3_its","soil1RB4_its","soil1RB5_its","soil1RB6_its","soil1SW1_its","soil1SW2_its","soil1SW3_its","soil1SW4_its","soil1SW5_its","soil1SW6_its","soil1VT1_its","soil1VT2_its","soil1VT3_its","soil1VT4_its","soil1VT5_its","soil1VT6_its","soil2BB1_its","soil2BB2_its","soil2BB3_its","soil2BB4_its","soil2BB5_its","soil2BB6_its","soil2BR1_its","soil2BR2_its","soil2BR3_its","soil2BR4_its","soil2BR5_its","soil2BR6_its","soil2FW1_its","soil2FW2_its","soil2FW3_its","soil2FW4_its","soil2FW5_its","soil2FW6_its","soil2h2o_its","soil2LE1_its","soil2LE2_its","soil2LE3_its","soil2LE4_its","soil2LE5_its","soil2LE6_its","soil2RB1_its","soil2RB2_its","soil2RB3_its","soil2RB4_its","soil2RB5_its","soil2RB6_its","soil2SW1_its","soil2SW2_its","soil2SW3_its","soil2SW4_its","soil2SW5_its","soil2SW6_its","soil2VT1_its","soil2VT2_its","soil2VT3_its","soil2VT4_its","soil2VT5_its","soil2VT6_its","soil3BB1_its","soil3BB2_its","soil3BB3_its","soil3BB4_its","soil3BB5_its","soil3BB6_its","soil3BR1_its","soil3BR2_its","soil3BR3_its","soil3BR4_its","soil3BR5_its","soil3BR6_its","soil3FW1_its","soil3FW2_its","soil3FW3_its","soil3FW4_its","soil3FW5_its","soil3FW6_its","soil3h2o_its","soil3LE1_its","soil3LE2_its","soil3LE3_its","soil3LE4_its","soil3LE5_its","soil3LE6_its","soil3RB1_its","soil3RB2_its","soil3RB3_its","soil3RB4_its","soil3RB5_its","soil3RB6_its","soil3SW1_its","soil3SW2_its","soil3SW3_its","soil3SW4_its","soil3SW5_its","soil3SW6_its","soil3VT1_its","soil3VT2_its","soil3VT3_its","soil3VT4_its","soil3VT5_its","soil3VT6_its"
"Fungi",256,3655,271,145,324,2823,43,15,2431,714,40,13,198,32,187,680,475,10,35,260,33,0,11,339,43,1347,99,36,137,446,32,117,126,7,115,6,0,2414,1480,3095,2345,5595,6733,6988,11733,16004,17975,28246,19643,75,56,39,98,75,83,1331,22,2780,2369,44,1751,2963,2118,3442,967,5783,2272,1329,14,585,2144,3316,3148,3404,9180,6578,896,1852,3249,30131,17777,13464,19212,16282,15613,27,74,11,16,18,14,2622,1,828,7140,4878,1236,1113,778,2095,3183,1915,405,855,370,1473,1130,612,1485,750,1176,3256,3522,1595,13847,6075,7628,10908,8204,13331,317,43,3,38,1527,2774,359,628,3753,25,1196,3,194,756,744,441,57,740,338,370,71,2779,2720,4254,6576,7988,8625,5058,10124,5836,1212,9366,5128,3378,2120,2522,4958,15070,11783,1,9766,13989,19385,4748,6267,17333,16114,11218,2317,5764,10013,6070,1887,970,2054,6218,7321,14010,11345,1275,4803,6444,8029,6817,8852,1166,622,6237,1405,1313,19283,610,7688,15544,8293,13425,10679,12042,9476,6219,13811,16234,1,11339,7499,9936,8316,18931,16575,3349,10868,2382,3688,1476,1359,9336,3285,1311,12421,11825,15403,1609,9367,3787,8397,11071,558,1018,2718,1514,2965,852,4060,6553,15196,12595,9674,3709,10701,5951,2662,7315,9429,16030,11410,0,8497,11385,3661,5003,15993,5720,5929,10606,6823,1310,6802,9564,12582,5012,4802,3225,2378,14554,12046,6931,7966,1097,701,11551
"Ascomycota",1020,1596,1411,1674,1862,947,303,101,483,320,200,3,197,557,194,687,2391,51,148,627,53,4,207,3553,473,1234,1102,820,4017,3747,201,839,1806,838,1146,146,0,1212,274,1666,2802,1287,764,15,14,19,21,8,62,33,37,13,56,28,49,278,9,278,342,9,586,148,263,61,483,388,303,542,437,348,392,481,1588,1067,648,1773,61,1985,829,27,52,22,12,23,9,19,16,5,11,39,14,358,1,206,75,62,749,323,463,1058,407,374,457,613,392,509,424,401,1081,549,288,1554,1804,3207,26,9,28,30,18,10,35,7,3,199,704,150,42,81,277,263,426,6,177,201,262,115,306,642,772,622,610,414,365,504,404,277,264,1320,717,519,84,851,487,399,250,135,137,57,135,0,213,296,195,157,294,61,305,228,230,620,324,300,684,352,316,396,296,294,577,547,464,198,231,490,272,343,185,389,467,879,898,24,449,1241,699,738,105,96,39,200,142,72,0,322,124,37,156,172,304,724,381,190,1030,578,738,367,275,13,140,127,350,457,127,366,902,360,59,493,476,290,746,443,165,1385,133,1244,1033,816,545,157,30,126,59,121,129,0,221,248,132,578,161,267,545,364,270,337,214,501,790,400,388,655,524,242,200,389,455,737,597,251
"Dothideomycetes",5,2,1,0,0,0,0,3,215,1,0,0,0,0,0,0,0,0,0,135,1,0,2,1,4,0,0,1,0,0,0,154,6,4,27,1,0,375,10,638,454,436,575,1,1,2,9,3,10,6,11,6,20,34,13,864,1,591,810,135,977,50,13,19,56,7,9,1,19,0,1,9,6,307,98,268,20,534,105,9,0,12,0,0,1,12,22,1,3,2,13,732,0,576,193,5,1201,2,7,7,32,8,77,3,1,823,0,3,72,124,20,43,693,83,7,9,13,7,4,4,17,5,0,16,207,410,568,919,340,19,20,2,57,23,188,1,0,19,52,2,12,81,25,310,61,48,183,2,4,2,0,3,0,21,12,7,11,2,4,0,7,13,1,2,4,1,59,145,148,119,145,76,15,22,5,3,2,8,6,28,8,2,1,2,90,127,60,139,58,82,3,0,0,1,5,6,3,5,1,39,6,0,0,0,2,0,10,4,4,94,82,83,268,111,224,4,1,0,1,3,7,3,2,107,4,2,1,44,32,122,116,348,15,5,0,4,2,1,4,9,1,2,0,4,6,0,0,7,5,5,4,3,129,147,137,197,170,155,3,7,7,6,12,1,7,2,5,8,3,9
"Macrophomina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capnodiales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Capnodium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Davidiellaceae",0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,7,1,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,2,0,1,0,1,1,0,0,0,1,1,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,2,0,11,9,0,5,10,3,21,0,2,31,9,8,3,4,0,5,0,5,8,2,2,6,4,4,2,2,4,8,2,15,3,8,2,1,4,10,17,10,5,6,8,0,1,1,0,2,3,3,0,5,1,3,1,7,2,0,5,3,2,0,2,0,1,2,4,7,5,1,1,2,12,7,8,3,0,0,1,7,3,3,2,9,6,1,3,7,0,4,1,0,6,0,4,0,2,0,9,1,0,1,10,2,0,6,4,6,8,10,6,3,0,4,2,0,1,5,4,3,3,12,1,1,4,9,12,10,1
"Davidiella",3,3,13,5,6,1,0,7,4,11,5,0,2,1,0,0,3,0,4,13,1,0,0,3,4,0,1,0,12,1,1,10,1,3,3,3,0,31,6,75,49,142,90,1,9,5,2,3,11,7,1,7,3,2,2,1,0,90,17,0,10,2,2,2,6,4,41,7,2,3,23,11,17,32,9,34,0,57,43,5,4,0,0,7,0,1,0,0,0,17,3,21,0,1,3,0,1,7,40,2,17,12,4,9,1,1,3,17,6,29,26,8,17,49,2,0,3,4,2,0,2,1,1,9,5,12,7,3,16,5,6,0,3,3,1,1,5,2,22,26,8,60,28,177,51,27,63,173,85,245,20,135,611,414,201,61,74,39,84,0,124,209,87,92,130,43,80,78,31,99,89,75,416,112,109,141,81,79,264,329,209,305,200,241,37,42,34,43,48,53,29,2,53,37,67,59,130,81,20,173,66,64,2,107,48,24,87,205,183,96,38,29,43,117,102,126,134,5,38,40,176,143,57,68,242,130,17,62,72,27,27,82,35,194,27,66,83,62,53,150,24,55,25,164,74,0,121,140,205,172,185,121,114,53,74,62,37,52,94,118,83,135,215,78,84,65,131,231,196,21
"Toxicocladosporium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Devriesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
