"","extracted_from","experiment","treatment","repetition","comb","group"
"brsw1BR1_its","brsw","1","BR","1","brsw1BR","BRbrsw"
"brsw1BR2_its","brsw","1","BR","2","brsw1BR","BRbrsw"
"brsw1BR3_its","brsw","1","BR","3","brsw1BR","BRbrsw"
"brsw1BR4_its","brsw","1","BR","4","brsw1BR","BRbrsw"
"brsw1BR5_its","brsw","1","BR","5","brsw1BR","BRbrsw"
"brsw1BR6_its","brsw","1","BR","6","brsw1BR","BRbrsw"
"brsw1SW1_its","brsw","1","SW","1","brsw1SW","SWbrsw"
"brsw1SW2_its","brsw","1","SW","2","brsw1SW","SWbrsw"
"brsw1SW3_its","brsw","1","SW","3","brsw1SW","SWbrsw"
"brsw1SW4_its","brsw","1","SW","4","brsw1SW","SWbrsw"
"brsw1SW5_its","brsw","1","SW","5","brsw1SW","SWbrsw"
"brsw1SW6_its","brsw","1","SW","6","brsw1SW","SWbrsw"
"brsw2BR1_its","brsw","2","BR","1","brsw2BR","BRbrsw"
"brsw2BR2_its","brsw","2","BR","2","brsw2BR","BRbrsw"
"brsw2BR3_its","brsw","2","BR","3","brsw2BR","BRbrsw"
"brsw2BR4_its","brsw","2","BR","4","brsw2BR","BRbrsw"
"brsw2BR5_its","brsw","2","BR","5","brsw2BR","BRbrsw"
"brsw2BR6_its","brsw","2","BR","6","brsw2BR","BRbrsw"
"brsw2SW1_its","brsw","2","SW","1","brsw2SW","SWbrsw"
"brsw2SW2_its","brsw","2","SW","2","brsw2SW","SWbrsw"
"brsw2SW3_its","brsw","2","SW","3","brsw2SW","SWbrsw"
"brsw2SW4_its","brsw","2","SW","4","brsw2SW","SWbrsw"
"brsw2SW5_its","brsw","2","SW","5","brsw2SW","SWbrsw"
"brsw2SW6_its","brsw","2","SW","6","brsw2SW","SWbrsw"
"brsw3BR1_its","brsw","3","BR","1","brsw3BR","BRbrsw"
"brsw3BR2_its","brsw","3","BR","2","brsw3BR","BRbrsw"
"brsw3BR3_its","brsw","3","BR","3","brsw3BR","BRbrsw"
"brsw3BR4_its","brsw","3","BR","4","brsw3BR","BRbrsw"
"brsw3BR5_its","brsw","3","BR","5","brsw3BR","BRbrsw"
"brsw3BR6_its","brsw","3","BR","6","brsw3BR","BRbrsw"
"brsw3SW1_its","brsw","3","SW","1","brsw3SW","SWbrsw"
"brsw3SW2_its","brsw","3","SW","2","brsw3SW","SWbrsw"
"brsw3SW3_its","brsw","3","SW","3","brsw3SW","SWbrsw"
"brsw3SW4_its","brsw","3","SW","4","brsw3SW","SWbrsw"
"brsw3SW5_its","brsw","3","SW","5","brsw3SW","SWbrsw"
"brsw3SW6_its","brsw","3","SW","6","brsw3SW","SWbrsw"
"brswh2o_its","brsw","h","2o","","brswh2o","2obrsw"
"plnt1BB1_its","plnt","1","BB","1","plnt1BB","BBplnt"
"plnt1BB2_its","plnt","1","BB","2","plnt1BB","BBplnt"
"plnt1BB3_its","plnt","1","BB","3","plnt1BB","BBplnt"
"plnt1BB4_its","plnt","1","BB","4","plnt1BB","BBplnt"
"plnt1BB5_its","plnt","1","BB","5","plnt1BB","BBplnt"
"plnt1BB6_its","plnt","1","BB","6","plnt1BB","BBplnt"
"plnt1BR1_its","plnt","1","BR","1","plnt1BR","BRplnt"
"plnt1BR2_its","plnt","1","BR","2","plnt1BR","BRplnt"
"plnt1BR3_its","plnt","1","BR","3","plnt1BR","BRplnt"
"plnt1BR4_its","plnt","1","BR","4","plnt1BR","BRplnt"
"plnt1BR5_its","plnt","1","BR","5","plnt1BR","BRplnt"
"plnt1BR6_its","plnt","1","BR","6","plnt1BR","BRplnt"
"plnt1LE1_its","plnt","1","LE","1","plnt1LE","LEplnt"
"plnt1LE2_its","plnt","1","LE","2","plnt1LE","LEplnt"
"plnt1LE31_its","plnt","1","LE","3","plnt1LE","LEplnt"
"plnt1LE4_its","plnt","1","LE","4","plnt1LE","LEplnt"
"plnt1LE5_its","plnt","1","LE","5","plnt1LE","LEplnt"
"plnt1LE6_its","plnt","1","LE","6","plnt1LE","LEplnt"
"plnt1RB1_its","plnt","1","RB","1","plnt1RB","RBplnt"
"plnt1RB2_its","plnt","1","RB","2","plnt1RB","RBplnt"
"plnt1RB3_its","plnt","1","RB","3","plnt1RB","RBplnt"
"plnt1RB4_its","plnt","1","RB","4","plnt1RB","RBplnt"
"plnt1RB5_its","plnt","1","RB","5","plnt1RB","RBplnt"
"plnt1RB6_its","plnt","1","RB","6","plnt1RB","RBplnt"
"plnt1SW1_its","plnt","1","SW","1","plnt1SW","SWplnt"
"plnt1SW2_its","plnt","1","SW","2","plnt1SW","SWplnt"
"plnt1SW3_its","plnt","1","SW","3","plnt1SW","SWplnt"
"plnt1SW4_its","plnt","1","SW","4","plnt1SW","SWplnt"
"plnt1SW5_its","plnt","1","SW","5","plnt1SW","SWplnt"
"plnt1SW6_its","plnt","1","SW","6","plnt1SW","SWplnt"
"plnt1VT1_its","plnt","1","VT","1","plnt1VT","VTplnt"
"plnt1VT2_its","plnt","1","VT","2","plnt1VT","VTplnt"
"plnt1VT3_its","plnt","1","VT","3","plnt1VT","VTplnt"
"plnt1VT4_its","plnt","1","VT","4","plnt1VT","VTplnt"
"plnt1VT5_its","plnt","1","VT","5","plnt1VT","VTplnt"
"plnt1VT6_its","plnt","1","VT","6","plnt1VT","VTplnt"
"plnt2BB1_its","plnt","2","BB","1","plnt2BB","BBplnt"
"plnt2BB2_its","plnt","2","BB","2","plnt2BB","BBplnt"
"plnt2BB3_its","plnt","2","BB","3","plnt2BB","BBplnt"
"plnt2BB4_its","plnt","2","BB","4","plnt2BB","BBplnt"
"plnt2BB5_its","plnt","2","BB","5","plnt2BB","BBplnt"
"plnt2BB6_its","plnt","2","BB","6","plnt2BB","BBplnt"
"plnt2BR1_its","plnt","2","BR","1","plnt2BR","BRplnt"
