"","domain","phylum","class","order","family","genus"
"Fungi","d__Fungi",NA,NA,NA,NA,NA
"Ascomycota","d__Fungi","p__Ascomycota",NA,NA,NA,NA
"Dothideomycetes","d__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA
"Macrophomina","d__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","Macrophomina"
"Capnodiales","d__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA
"Capnodium","d__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiaceae","Capnodium"
"Davidiellaceae","d__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae",NA
"Davidiella","d__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Davidiellaceae","Davidiella"
"Toxicocladosporium","d__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Incertae_sedis_17","Toxicocladosporium"
"Devriesia","d__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","Devriesia"
"Aureobasidium","d__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","Aureobasidium"
"Hormonema","d__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","Hormonema"
"Kabatiella","d__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","Kabatiella"
"Arthrographis","d__Fungi","p__Ascomycota","c__Dothideomycetes","o__Incertae_sedis_8","f__Eremomycetaceae","Arthrographis"
"Myxotrichaceae","d__Fungi","p__Ascomycota","c__Dothideomycetes","o__Incertae_sedis_8","f__Myxotrichaceae",NA
"Myxotrichum","d__Fungi","p__Ascomycota","c__Dothideomycetes","o__Incertae_sedis_8","f__Myxotrichaceae","Myxotrichum"
"Oidiodendron","d__Fungi","p__Ascomycota","c__Dothideomycetes","o__Incertae_sedis_8","f__Myxotrichaceae","Oidiodendron"
