"","CROP","EXP","REP","week","abund_allFus_byavg","comb"
"soil1BB1_ef","BB",1,1,52,36987.59411,"soil1BB1_ef"
"soil1BB2_ef","BB",1,2,52,66529.75142,"soil1BB2_ef"
"soil1BB3_ef","BB",1,3,52,60258.96646,"soil1BB3_ef"
"soil1BB4_ef","BB",1,4,52,42890.97822,"soil1BB4_ef"
"soil1BB5_ef","BB",1,5,52,37695.0632,"soil1BB5_ef"
"soil1BB6_ef","BB",1,6,52,58105.84067,"soil1BB6_ef"
"soil1BR1_ef","BR",1,1,52,26799.34203,"soil1BR1_ef"
"soil1BR2_ef","BR",1,2,52,19239.11174,"soil1BR2_ef"
"soil1BR3_ef","BR",1,3,52,18293.99547,"soil1BR3_ef"
"soil1BR4_ef","BR",1,4,52,34659.48625,"soil1BR4_ef"
"soil1BR5_ef","BR",1,5,52,32416.14001,"soil1BR5_ef"
"soil1BR6_ef","BR",1,6,52,29666.58636,"soil1BR6_ef"
"soil1FW1_ef","FW",1,1,52,7612.632964,"soil1FW1_ef"
"soil1FW2_ef","FW",1,2,52,5042.851191,"soil1FW2_ef"
"soil1FW3_ef","FW",1,3,52,3690.632944,"soil1FW3_ef"
"soil1FW4_ef","FW",1,4,52,4268.789459,"soil1FW4_ef"
"soil1FW5_ef","FW",1,5,52,4985.421755,"soil1FW5_ef"
"soil1FW6_ef","FW",1,6,52,4380.668858,"soil1FW6_ef"
"soil1LE1_ef","LE",1,1,52,13188.94002,"soil1LE1_ef"
"soil1LE2_ef","LE",1,2,52,5508.914827,"soil1LE2_ef"
"soil1LE3_ef","LE",1,3,52,16900.27696,"soil1LE3_ef"
"soil1LE4_ef","LE",1,4,52,10182.49748,"soil1LE4_ef"
"soil1LE5_ef","LE",1,5,52,19140.95164,"soil1LE5_ef"
"soil1LE6_ef","LE",1,6,52,26685.2855,"soil1LE6_ef"
"soil1RB1_ef","RB",1,1,52,29288.12703,"soil1RB1_ef"
"soil1RB2_ef","RB",1,2,52,24280.87228,"soil1RB2_ef"
"soil1RB3_ef","RB",1,3,52,26329.36629,"soil1RB3_ef"
"soil1RB4_ef","RB",1,4,52,19131.71916,"soil1RB4_ef"
"soil1RB5_ef","RB",1,5,52,17427.56094,"soil1RB5_ef"
"soil1RB6_ef","RB",1,6,52,24202.83384,"soil1RB6_ef"
"soil1SW1_ef","SW",1,1,52,25453.33003,"soil1SW1_ef"
"soil1SW2_ef","SW",1,2,52,22150.66055,"soil1SW2_ef"
"soil1SW3_ef","SW",1,3,52,25288.60076,"soil1SW3_ef"
"soil1SW4_ef","SW",1,4,52,31133.77745,"soil1SW4_ef"
"soil1SW5_ef","SW",1,5,52,81817.18359,"soil1SW5_ef"
"soil1SW6_ef","SW",1,6,52,52195.86626,"soil1SW6_ef"
"soil1VT1_ef","VT",1,1,52,30483.46298,"soil1VT1_ef"
"soil1VT2_ef","VT",1,2,52,21163.1427,"soil1VT2_ef"
"soil1VT3_ef","VT",1,3,52,33966.82583,"soil1VT3_ef"
"soil1VT4_ef","VT",1,4,52,33585.35915,"soil1VT4_ef"
"soil1VT5_ef","VT",1,5,52,52943.85355,"soil1VT5_ef"
"soil1VT6_ef","VT",1,6,52,51903.74611,"soil1VT6_ef"
"soil2BB1_ef","BB",2,1,52,48642.13971,"soil2BB1_ef"
"soil2BB2_ef","BB",2,2,52,46256.56194,"soil2BB2_ef"
