"","cyanostomum_all","dimerum_all","foetens_all","redolens_all","sambucinumA_all","sambucinumD_all","solani2_all","tricinctum_all","unknown1_all","oxysporumB_OT1","oxysporumB_OT2","oxysporumB_OT3","oxysporumB_OT4","oxysporumB_OT5","oxysporumB_OT6","oxysporumB_OT7","oxysporumB_OT8","solani3_OT1","solani3_OT2","solani3_OT3","solani3_OT4","solani3_OT5","solani3_OT6","solani3_OT7","solani3_OT8","solani3_OT9","solani3_OT10","incarnatumequiseti_OT1","incarnatumequiseti_OT2","incarnatumequiseti_OT3","incarnatumequiseti_OT4","incarnatumequiseti_OT5","incarnatumequiseti_OT6","incarnatumequiseti_OT7","incarnatumequiseti_OT8","incarnatumequiseti_OT9","incarnatumequiseti_OT10","incarnatumequiseti_OT11","incarnatumequiseti_OT12","fujikuroiAs_OT1","fujikuroiAs_OT2","fujikuroiAs_OT3","fujikuroiAs_OT4","fujikuroiAf_OT2","fujikuroiAf_OT1"
"CTCC1_2017",221,0,1,93,0,121,71,659,9,588,1343,165,35,15,9,2,7,90,31,121,93,16,3,47,0,3,2,2154,434,1348,851,469,0,140,46,18,20,29,69,227,311,75,394,780,3
"CTCC2_2017",388,0,0,358,386,593,224,3407,6,1317,425,22,9,2,0,4,0,0,1,1,0,6,0,0,0,0,0,491,470,1417,638,1,1,19,2,4,4,1,2,444,14,298,0,2669,196
"CTCC3_2017",0,0,0,0,471,517,1,184,10,1013,677,45,10,11,2,1,0,0,4,1,0,452,52,141,0,0,0,1745,2023,462,398,1358,0,53,6,38,31,20,4,0,7,3,501,1058,249
"CTCC4_2017",0,0,0,0,0,1896,0,733,13,154,332,116,11,1,4,0,0,93,83,144,0,8,58,53,56,0,3,2214,3130,1331,636,115,79,221,198,124,100,85,29,53,124,0,1,213,237
"CTNO1_2017",1,0,0,0,0,952,0,312,13,2,1,4,0,0,0,0,0,0,104,170,0,3,0,0,0,18,0,1893,2241,1237,375,116,101,68,152,38,23,22,8,1,0,0,0,231,105
"CTNO2_2017",0,0,1,2,0,1802,0,758,12,551,800,209,20,15,4,2,0,183,0,105,0,15,0,1,1,13,3,2056,3266,305,723,140,659,96,20,54,74,57,24,130,1,1,0,394,1
"CTNO3_2017",0,0,0,379,0,2143,182,4,4,380,832,381,13,4,1,1,1,3,797,2,0,6,338,0,2,0,0,2365,2190,1044,970,1262,1,59,1,35,46,13,14,0,0,0,0,1166,371
"CTNO4_2017",0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"STCC1_2017",0,0,0,0,0,407,0,770,4,171,103,137,0,0,0,0,0,177,177,0,0,0,0,0,0,0,0,587,1085,2,1,397,234,15,389,7,5,4,0,84,2,162,147,1623,0
"STCC2_2017",0,0,0,0,0,745,0,634,4,497,178,12,0,0,1,2,0,48,9,0,0,0,0,0,6,0,0,106,1319,0,116,137,144,4,2,7,3,2,0,79,1,38,39,263,2
