"","cyanostomum_all","dimerum_all","foetens_all","redolens_all","sambucinumA_all","sambucinumD_all","solani2_all","tricinctum_all","unknown1_all","oxysporumB_OT1","oxysporumB_OT2","oxysporumB_OT3","oxysporumB_OT4","oxysporumB_OT5","oxysporumB_OT6","oxysporumB_OT7","oxysporumB_OT8","solani3_OT1","solani3_OT2","solani3_OT3","solani3_OT4","solani3_OT5","solani3_OT6","solani3_OT7","solani3_OT8","solani3_OT9","solani3_OT10","incarnatumequiseti_OT1","incarnatumequiseti_OT2","incarnatumequiseti_OT3","incarnatumequiseti_OT4","incarnatumequiseti_OT5","incarnatumequiseti_OT6","incarnatumequiseti_OT7","incarnatumequiseti_OT8","incarnatumequiseti_OT9","incarnatumequiseti_OT10","incarnatumequiseti_OT11","incarnatumequiseti_OT12","fujikuroiAs_OT1","fujikuroiAs_OT2","fujikuroiAs_OT3","fujikuroiAs_OT4","fujikuroiAf_OT2","fujikuroiAf_OT1"
"CTCC1_P",2,0,5,418,0,56,164,1530,7,7147,8207,1408,632,411,86,37,51,1093,410,246,1439,196,178,450,9,9,21,803,139,670,922,486,0,65,1,5,5,7,42,1131,725,694,678,437,134
"CTCC1_S",221,0,1,93,0,121,71,659,9,588,1343,165,35,15,9,2,7,90,31,121,93,16,3,47,0,3,2,2154,434,1348,851,469,0,140,46,18,20,29,69,227,311,75,394,780,3
"CTCC2_P",1,0,6,1418,0,40,38,456,0,2949,7053,1581,327,152,84,8,22,456,175,472,257,97,70,29,159,13,21,60,52,102,53,52,0,4,1,2,1,0,0,3097,1483,1261,332,1122,3
"CTCC2_S",388,0,0,358,386,593,224,3407,6,1317,425,22,9,2,0,4,0,0,1,1,0,6,0,0,0,0,0,491,470,1417,638,1,1,19,2,4,4,1,2,444,14,298,0,2669,196
"CTCC3_P",1,0,4,1071,0,2,0,148,0,3004,3206,1289,372,216,104,11,34,143,134,116,39,84,36,23,39,5,13,134,1,38,0,197,0,0,0,0,0,0,0,202,376,193,289,348,131
"CTCC3_S",0,0,0,0,471,517,1,184,10,1013,677,45,10,11,2,1,0,0,4,1,0,452,52,141,0,0,0,1745,2023,462,398,1358,0,53,6,38,31,20,4,0,7,3,501,1058,249
"CTCC4_P",0,0,2,3248,0,1,1,215,13,5750,8927,2151,507,351,143,32,31,390,238,472,43,63,0,1043,138,14,6,1646,111,635,240,99,0,24,0,7,1,4,13,975,593,175,652,2,395
"CTCC4_S",0,0,0,0,0,1896,0,733,13,154,332,116,11,1,4,0,0,93,83,144,0,8,58,53,56,0,3,2214,3130,1331,636,115,79,221,198,124,100,85,29,53,124,0,1,213,237
"CTNO1_P",139,0,0,376,0,35,30,210,0,1578,1618,303,59,33,7,8,3,251,288,391,123,157,234,6,71,23,3,120,0,0,233,79,0,5,0,0,0,0,0,687,767,80,672,2483,1129
"CTNO1_S",1,0,0,0,0,952,0,312,13,2,1,4,0,0,0,0,0,0,104,170,0,3,0,0,0,18,0,1893,2241,1237,375,116,101,68,152,38,23,22,8,1,0,0,0,231,105
"CTNO2_P",0,0,5,1008,0,464,0,416,2,5694,4309,1977,121,76,24,17,5,126,132,223,2,133,191,5,80,14,2,587,3,94,0,212,0,1,0,0,0,0,0,7056,847,1009,337,324,222
"CTNO2_S",0,0,1,2,0,1802,0,758,12,551,800,209,20,15,4,2,0,183,0,105,0,15,0,1,1,13,3,2056,3266,305,723,140,659,96,20,54,74,57,24,130,1,1,0,394,1
"CTNO3_P",0,0,2,919,0,0,0,17,3,2996,4131,1375,63,30,20,14,4,2,527,212,368,234,0,12,0,11,2,296,208,181,1,0,0,2,0,1,0,1,0,645,1504,1,591,2344,190
"CTNO3_S",0,0,0,379,0,2143,182,4,4,380,832,381,13,4,1,1,1,3,797,2,0,6,338,0,2,0,0,2365,2190,1044,970,1262,1,59,1,35,46,13,14,0,0,0,0,1166,371
"CTNO4_P",1,0,1,578,0,351,0,139,2,6406,3977,2362,174,125,35,32,18,887,488,467,3,21,224,2,2,24,8,345,1,304,353,51,1,5,0,0,0,0,6,308,372,298,134,204,1
"CTNO4_S",0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"STCC1_P",0,1,11,1076,0,62,0,342,12,11358,7409,2239,220,169,29,58,13,1424,1373,2002,2,289,647,117,5,80,21,1507,538,242,324,0,0,9,0,7,3,5,6,1080,1221,1954,5,976,9
"STCC1_S",0,0,0,0,0,407,0,770,4,171,103,137,0,0,0,0,0,177,177,0,0,0,0,0,0,0,0,587,1085,2,1,397,234,15,389,7,5,4,0,84,2,162,147,1623,0
"STCC2_P",20,0,11,392,0,325,82,366,42,13413,5590,5149,642,428,165,68,45,1281,2042,1310,479,832,420,280,246,127,63,1283,2074,1187,652,157,240,132,25,91,46,38,18,2690,1716,1193,119,342,141
"STCC2_S",0,0,0,0,0,745,0,634,4,497,178,12,0,0,1,2,0,48,9,0,0,0,0,0,6,0,0,106,1319,0,116,137,144,4,2,7,3,2,0,79,1,38,39,263,2
"STCC3_P",0,0,11,386,0,3,0,617,3,7302,8124,1859,329,140,58,47,13,1719,1342,428,1471,415,15,122,1,19,42,1964,1066,13,0,463,0,20,0,15,15,8,8,523,469,690,230,444,142
"STCC3_S",0,0,0,0,0,1925,0,1011,7,4,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1662,160,1147,537,333,2,28,1,4,1,3,14,1160,10,0,0,973,10
"STCC4_P",1,0,10,75,1,391,49,289,17,7279,8818,6780,208,52,42,52,0,0,1444,1461,2018,70,0,9,0,70,9,2018,1198,1210,0,0,0,6,0,6,0,6,0,996,1224,455,119,466,591
"STCC4_S",0,0,0,1,0,714,178,2580,6,515,407,13,2,5,0,1,0,10,20,1674,0,40,0,0,0,70,10,2018,934,292,861,376,0,38,3,18,20,8,28,0,49,1194,0,310,2
"STNO1_P",0,0,4,1451,0,103,1,564,0,5918,3170,1777,42,51,15,31,2,528,1525,1133,1095,652,403,373,152,52,12,280,895,501,0,0,0,1,0,1,1,2,0,4387,838,3255,853,1109,0
"STNO1_S",314,0,0,0,344,1,0,732,13,765,667,398,9,6,2,3,0,77,252,1,0,4,3,0,0,0,0,3095,7,2921,833,725,0,16,0,0,3,7,23,357,12,0,0,379,18
"STNO2_P",0,0,0,0,0,0,0,15,1,1418,370,577,29,20,10,5,3,307,208,194,0,82,42,6,3,12,12,231,416,3,64,61,68,6,1,8,3,6,1,1707,850,372,44,192,275
"STNO2_S",0,0,0,0,0,0,0,2510,3,211,545,247,5,0,2,3,0,97,1,161,1,5,0,0,0,10,1,1396,2,6,1159,739,0,9,0,0,0,2,6,0,209,0,0,97,42
"STNO3_P",0,0,2,100,0,371,0,354,4,3290,1930,1354,225,139,56,21,18,748,722,1403,745,250,280,141,71,89,55,393,496,578,175,11,66,37,5,24,8,9,5,1451,1675,1019,509,4,1
"STNO3_S",0,0,0,0,0,310,0,986,4,727,1364,232,97,70,23,4,6,110,91,176,15,46,36,13,7,11,7,583,1440,347,132,21,112,55,10,48,25,22,5,72,41,45,69,4466,2197
"STNO4_P",0,0,5,202,0,263,2,4,8,3382,2910,1100,339,229,74,21,21,801,946,841,206,343,137,45,134,64,70,363,633,56,360,0,121,42,11,13,19,7,13,3757,2250,1520,534,292,87
"STNO4_S",0,0,0,0,0,695,1,1480,5,963,370,422,35,28,12,4,3,85,218,51,140,52,14,70,17,5,5,873,1709,1183,723,6,110,105,67,65,17,36,15,0,0,0,0,1438,70
