"","Barcode_ID","year","tillage_trtmt","cc_trtmt","full_trtmt","block.","sample_type","plot.","ID","trt_year"
"CTCC1_2017","CTCC1_S","2017","CT","CC","CTCC","1","soil","3","CTCC1_2017","CTCC2017"
"CTCC2_2017","CTCC2_S","2017","CT","CC","CTCC","2","soil","15","CTCC2_2017","CTCC2017"
"CTCC3_2017","CTCC3_S","2017","CT","CC","CTCC","3","soil","24","CTCC3_2017","CTCC2017"
"CTCC4_2017","CTCC4_S","2017","CT","CC","CTCC","4","soil","25","CTCC4_2017","CTCC2017"
"CTNO1_2017","CTNO1_S","2017","CT","NO","CTNO","1","soil","4","CTNO1_2017","CTNO2017"
"CTNO2_2017","CTNO2_S","2017","CT","NO","CTNO","2","soil","16","CTNO2_2017","CTNO2017"
"CTNO3_2017","CTNO3_S","2017","CT","NO","CTNO","3","soil","23","CTNO3_2017","CTNO2017"
"CTNO4_2017","CTNO4_S","2017","CT","NO","CTNO","4","soil","28","CTNO4_2017","CTNO2017"
"STCC1_2017","STCC1_S","2017","ST","CC","STCC","1","soil","1","STCC1_2017","STCC2017"
"STCC2_2017","STCC2_S","2017","ST","CC","STCC","2","soil","13","STCC2_2017","STCC2017"
"STCC3_2017","STCC3_S","2017","ST","CC","STCC","3","soil","21","STCC3_2017","STCC2017"
"STCC4_2017","STCC4_S","2017","ST","CC","STCC","4","soil","26","STCC4_2017","STCC2017"
"STNO1_2017","STNO1_S","2017","ST","NO","STNO","1","soil","2","STNO1_2017","STNO2017"
"STNO2_2017","STNO2_S","2017","ST","NO","STNO","2","soil","14","STNO2_2017","STNO2017"
"STNO3_2017","STNO3_S","2017","ST","NO","STNO","3","soil","22","STNO3_2017","STNO2017"
"STNO4_2017","STNO4_S","2017","ST","NO","STNO","4","soil","27","STNO4_2017","STNO2017"
"CTNO2_2018","wsfsGB10_ef","2018","CT","NO","CTNO","2","soil","10","CTNO2_2018","CTNO2018"
"STNO2_2018","wsfsGB11_ef","2018","ST","NO","STNO","2","soil","11","STNO2_2018","STNO2018"
"STCC2_2018","wsfsGB12_ef","2018","ST","CC","STCC","2","soil","12","STCC2_2018","STCC2018"
"CTNO3_2018","wsfsGB17_ef","2018","CT","NO","CTNO","3","soil","17","CTNO3_2018","CTNO2018"
"CTCC3_2018","wsfsGB18_ef","2018","CT","CC","CTCC","3","soil","18","CTCC3_2018","CTCC2018"
"STNO3_2018","wsfsGB19_ef","2018","ST","NO","STNO","3","soil","19","STNO3_2018","STNO2018"
"STCC3_2018","wsfsGB20_ef","2018","ST","CC","STCC","3","soil","20","STCC3_2018","STCC2018"
"CTNO4_2018","wsfsGB29_ef","2018","CT","NO","CTNO","4","soil","29","CTNO4_2018","CTNO2018"
"CTCC4_2018","wsfsGB30_ef","2018","CT","CC","CTCC","4","soil","30","CTCC4_2018","CTCC2018"
"STNO4_2018","wsfsGB31_ef","2018","ST","NO","STNO","4","soil","31","STNO4_2018","STNO2018"
"STCC4_2018","wsfsGB32A_ef","2018","ST","CC","STCC","4","soil","32","STCC4_2018","STCC2018"
"CTNO1_2018","wsfsGB5_ef","2018","CT","NO","CTNO","1","soil","5","CTNO1_2018","CTNO2018"
"STNO1_2018","wsfsGB6_ef","2018","ST","NO","STNO","1","soil","6","STNO1_2018","STNO2018"
"STCC1_2018","wsfsGB7D_ef","2018","ST","CC","STCC","1","soil","7","STCC1_2018","STCC2018"
"CTCC1_2018","wsfsGB8_ef","2018","CT","CC","CTCC","1","soil","8","CTCC1_2018","CTCC2018"
"CTCC2_2018","wsfsGB9_ef","2018","CT","CC","CTCC","2","soil","9","CTCC2_2018","CTCC2018"
