"","Barcode_ID","year","tillage_trtmt","cc_trtmt","full_trtmt","block.","sample_type","plot.","ID","comb"
"CTCC1_P","CTCC1_P","2017","CT","CC","CTCC","1","root","3","CTCC1_2017","CTCC_root"
"CTCC1_S","CTCC1_S","2017","CT","CC","CTCC","1","soil","3","CTCC1_2017","CTCC_soil"
"CTCC2_P","CTCC2_P","2017","CT","CC","CTCC","2","root","15","CTCC2_2017","CTCC_root"
"CTCC2_S","CTCC2_S","2017","CT","CC","CTCC","2","soil","15","CTCC2_2017","CTCC_soil"
"CTCC3_P","CTCC3_P","2017","CT","CC","CTCC","3","root","24","CTCC3_2017","CTCC_root"
"CTCC3_S","CTCC3_S","2017","CT","CC","CTCC","3","soil","24","CTCC3_2017","CTCC_soil"
"CTCC4_P","CTCC4_P","2017","CT","CC","CTCC","4","root","25","CTCC4_2017","CTCC_root"
"CTCC4_S","CTCC4_S","2017","CT","CC","CTCC","4","soil","25","CTCC4_2017","CTCC_soil"
"CTNO1_P","CTNO1_P","2017","CT","NO","CTNO","1","root","4","CTNO1_2017","CTNO_root"
"CTNO1_S","CTNO1_S","2017","CT","NO","CTNO","1","soil","4","CTNO1_2017","CTNO_soil"
"CTNO2_P","CTNO2_P","2017","CT","NO","CTNO","2","root","16","CTNO2_2017","CTNO_root"
"CTNO2_S","CTNO2_S","2017","CT","NO","CTNO","2","soil","16","CTNO2_2017","CTNO_soil"
"CTNO3_P","CTNO3_P","2017","CT","NO","CTNO","3","root","23","CTNO3_2017","CTNO_root"
"CTNO3_S","CTNO3_S","2017","CT","NO","CTNO","3","soil","23","CTNO3_2017","CTNO_soil"
"CTNO4_P","CTNO4_P","2017","CT","NO","CTNO","4","root","28","CTNO4_2017","CTNO_root"
"CTNO4_S","CTNO4_S","2017","CT","NO","CTNO","4","soil","28","CTNO4_2017","CTNO_soil"
"STCC1_P","STCC1_P","2017","ST","CC","STCC","1","root","1","STCC1_2017","STCC_root"
"STCC1_S","STCC1_S","2017","ST","CC","STCC","1","soil","1","STCC1_2017","STCC_soil"
"STCC2_P","STCC2_P","2017","ST","CC","STCC","2","root","13","STCC2_2017","STCC_root"
"STCC2_S","STCC2_S","2017","ST","CC","STCC","2","soil","13","STCC2_2017","STCC_soil"
"STCC3_P","STCC3_P","2017","ST","CC","STCC","3","root","21","STCC3_2017","STCC_root"
"STCC3_S","STCC3_S","2017","ST","CC","STCC","3","soil","21","STCC3_2017","STCC_soil"
"STCC4_P","STCC4_P","2017","ST","CC","STCC","4","root","26","STCC4_2017","STCC_root"
"STCC4_S","STCC4_S","2017","ST","CC","STCC","4","soil","26","STCC4_2017","STCC_soil"
"STNO1_P","STNO1_P","2017","ST","NO","STNO","1","root","2","STNO1_2017","STNO_root"
"STNO1_S","STNO1_S","2017","ST","NO","STNO","1","soil","2","STNO1_2017","STNO_soil"
"STNO2_P","STNO2_P","2017","ST","NO","STNO","2","root","14","STNO2_2017","STNO_root"
"STNO2_S","STNO2_S","2017","ST","NO","STNO","2","soil","14","STNO2_2017","STNO_soil"
"STNO3_P","STNO3_P","2017","ST","NO","STNO","3","root","22","STNO3_2017","STNO_root"
"STNO3_S","STNO3_S","2017","ST","NO","STNO","3","soil","22","STNO3_2017","STNO_soil"
"STNO4_P","STNO4_P","2017","ST","NO","STNO","4","root","27","STNO4_2017","STNO_root"
"STNO4_S","STNO4_S","2017","ST","NO","STNO","4","soil","27","STNO4_2017","STNO_soil"
