Taxon_Name	MeanBootstrapValue	MeanLengthMerged	PercentageAsPairs	Total
d__Fungi	1.0	315	0.0	1368275
d__Fungi;p__Ascomycota	0.967	261	0.0	127023
d__Fungi;p__Ascomycota;c__Ascomycota_unidentified;o__Ascomycota_unidentified_1;f__Ascomycota_unidentified_1;g__Ascomycota_unidentified_1_1	0.946	254	0.0	111938
d__Fungi;p__Ascomycota;c__Dothideomycetes	0.944	246	0.0	20752
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Macrophomina	0.992	247	0.0	10
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriales_unidentified;g__Botryosphaeriales_unidentified_1	1.0	274	0.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	0.801	241	0.0	8
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiaceae;g__Capnodium	0.942	239	0.0	5
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae	0.819	241	0.0	620
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Davidiellaceae;g__Davidiella	0.948	241	0.0	14978
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Incertae_sedis_17;g__Toxicocladosporium	1.0	243	0.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Devriesia	0.85	238	0.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Aureobasidium	0.995	247	0.0	10
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Hormonema	0.999	254	0.0	214
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Kabatiella	0.84	239	0.0	2
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_unidentified;f__Dothideomycetes_unidentified_1;g__Dothideomycetes_unidentified_1	0.988	250	0.0	2484
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8	0.808	238	0.0	4
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8;f__Eremomycetaceae;g__Arthrographis	0.999	251	0.0	4842
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8;f__Myxotrichaceae	0.98	232	0.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8;f__Myxotrichaceae;g__Myxotrichum	0.893	233	0.0	3
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8;f__Myxotrichaceae;g__Oidiodendron	0.994	232	0.0	31
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8;f__Pseudeurotiaceae	0.804	239	0.0	68
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8;f__Pseudeurotiaceae;g__Pseudeurotiaceae_unidentified	0.99	239	0.0	8
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8;f__Pseudeurotiaceae;g__Pseudeurotium	0.911	238	0.0	43265
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis_8;f__Pseudeurotiaceae;g__Pseudogymnoascus	0.994	238	0.0	3490
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.848	246	0.0	8961
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaetopsis	0.988	240	0.0	17
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Didymosphaeria	1.0	253	0.0	91
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis_13	0.8	247	0.0	2
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis_13;g__Dictyosporium	1.0	247	0.0	3
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis_13;g__Leptosphaerulina	0.94	246	0.0	2
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis_13;g__Phoma	0.93	247	0.0	753
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis_13;g__Pyrenochaeta	0.999	248	0.0	115
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Coniothyrium	1.0	247	0.0	3
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Leptosphaeriaceae_unidentified	1.0	247	0.0	2
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae;g__Lophiostoma	0.991	234	0.0	7913
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Massarinaceae;g__Massarina	0.885	248	0.0	15
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae	0.807	246	0.0	1136
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae;g__Paraconiothyrium	0.926	246	0.0	155126
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae	0.902	248	0.0	34
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria	0.995	250	0.0	2149
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Dendryphion	1.0	249	0.0	9
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Embellisia	0.939	247	0.0	439
